PLANT_ID,SPECIES,DRY_WT,AREA,SLA
7,VAMY,0.0059,0.454,7.694915254
8,VAMY,0.0055,0.484,8.8
9,VAMY,0.0067,0.567,8.462686567
10,VAMY,0.0055,0.505,9.181818182
1,CHNI,0.0221,2.99,13.52941176
2,CHNI,0.017,2.169,12.75882353
3,CHNI,0.0225,1.881,8.36
4,CHNI,0.0146,3.476,23.80821918
5,CHNI,0.0201,2.523,12.55223881
6,CHNI,0.0219,2.155,9.840182648
7,CHNI,0.024,4.426,18.44166667
8,CHNI,0.0241,4.569,18.95850622
9,CHNI,0.0304,2.166,7.125
10,CHNI,0.0308,2.825,9.172077922
1,ERTO,0.0576,4.531,7.866319444
2,ERTO,0.0304,2.031,6.680921053
3,ERTO,0.0364,2.271,6.239010989
4,ERTO,0.0415,2.83,6.819277108
5,ERTO,0.0382,2.884,7.54973822
6,ERTO,0.0588,3.835,6.522108844
7,ERTO,0.0498,3.884,7.799196787
8,ERTO,0.0575,4.012,6.977391304
9,ERTO,0.0502,3.339,6.651394422
10,ERTO,0.0698,5.239,7.505730659
1,PIGR,0.0082,0.885,10.79268293
2,PIGR,0.0073,0.76,10.4109589
3,PIGR,0.0056,0.649,11.58928571
4,PIGR,0.0068,0.762,11.20588235
5,PIGR,0.0062,0.791,12.75806452
6,PIGR,0.0117,1.186,10.13675214
7,PIGR,0.0064,0.611,9.546875
8,PIGR,0.0027,0.279,10.33333333
9,PIGR,0.0137,1.334,9.737226277
10,PIGR,0.0064,0.562,8.78125
1,SOSE,0.1217,7.629,6.268693509
2,SOSE,0.083,4.055,4.885542169
3,SOSE,0.0765,4.066,5.31503268
4,SOSE,0.0246,2.296,9.333333333
5,SOSE,0.0487,2.714,5.572895277
6,SOSE,0.0678,3.821,5.635693215
7,SOSE,0.0358,4.004,11.18435754
8,SOSE,0.0748,3.961,5.295454545
9,SOSE,0.0804,3.754,4.669154229
10,SOSE,0.092,5.015,5.451086957
1,STSY,0.0565,6.755,11.95575221
2,STSY,0.0584,5.83,9.982876712
3,STSY,0.0442,4.307,9.744343891
4,STSY,0.0435,4.165,9.574712644
5,STSY,0.0434,4.822,11.11059908
6,STSY,0.0379,3.507,9.253298153
7,STSY,0.0735,6.448,8.772789116
8,STSY,0.0375,4.452,11.872
9,STSY,0.0428,5.27,12.31308411
10,STSY,0.0458,4.4,9.6069869
1,MOPU,0.0097,1.215,12.5257732
2,MOPU,0.0107,1.083,10.12149533
3,MOPU,0.0102,1.478,14.49019608
4,MOPU,0.0181,1.628,8.994475138
5,MOPU,0.0083,1.375,16.56626506
6,MOPU,0.0226,1.994,8.82300885
7,MOPU,0.0177,1.535,8.672316384
8,MOPU,0.011,1.02,9.272727273
9,MOPU,0.0159,1.587,9.981132075
10,MOPU,0.0106,1.486,14.01886792
1,AMAR,0.1431,7.677,5.364779874
2,AMAR,0.1377,7.042,5.114015977
3,AMAR,0.0924,4.926,5.331168831
4,AMAR,0.124,16.461,13.275
5,AMAR,0.114,13.416,11.76842105
6,AMAR,0.1221,14.863,12.17280917
7,AMAR,0.2783,32.995,11.85591089
8,AMAR,0.083,11.485,13.8373494
9,AMAR,0.1393,17.918,12.86288586
10,AMAR,0.0635,10.683,16.82362205
1,ARBE,0.123,4.299,3.495121951
2,ARBE,0.0876,3.166,3.614155251
3,ARBE,0.0901,2.901,3.219755827
4,ARBE,0.0713,3.277,4.596072931
5,ARBE,0.0973,5.671,5.828365879
6,ARBE,0.1012,3.964,3.916996047
7,ARBE,0.0803,3.73,4.645080946
8,ARBE,0.1066,5.973,5.603189493
9,ARBE,0.0934,5.337,5.714132762
10,ARBE,0.1264,5.005,3.959651899
1,SCSC,0.0464,3.776,8.137931034
2,SCSC,0.0719,5.36,7.454798331
3,SCSC,0.0866,5.718,6.602771363
4,SCSC,0.0825,5.887,7.135757576
5,SCSC,0.0854,7.151,8.3735363
6,SCSC,0.0582,4.681,8.042955326
7,SCSC,0.2099,15.967,7.606955693
8,SCSC,0.0517,4.611,8.918762089
2,LEHI,0.0233,3.181,13.65236052
3,LEHI,0.0134,1.896,14.14925373
8,LEHI,0.022,3.439,15.63181818
7,LEHI,0.0202,3.307,16.37128713
5,LEHI,0.0276,3.673,13.30797101
10,LEHI,0.025,4.085,16.34
9,LEHI,0.023,2.844,12.36521739
4,LEHI,0.0212,2.749,12.96698113
1,LEHI,0.021,3.162,15.05714286
6,TEVI,0.066,11.392,17.26060606
2,TEVI,0.1136,15.554,13.69190141
8,TEVI,0.0458,8.705,19.00655022
3,TEVI,0.0932,15.634,16.77467811
7,TEVI,0.0975,15.614,16.01435897
10,TEVI,0.0909,15.482,17.03190319
1,CRAR,0.0328,2.671,8.143292683
4,CRAR,0.0225,1.87,8.311111111
5,CRAR,0.0219,1.938,8.849315068
6,CRAR,0.028,2.5,8.928571429
7,CRAR,0.0281,2.467,8.779359431
8,CRAR,0.0113,0.976,8.637168142
9,CRAR,0.0218,2.066,9.47706422
1,SOOD,0.0131,1.662,12.6870229
2,SOOD,0.0108,1.614,14.94444444
3,SOOD,0.0136,1.946,14.30882353
4,SOOD,0.0183,1.839,10.04918033
5,SOOD,0.0198,2.07,10.45454545
6,SOOD,0.0034,0.417,12.26470588
7,SOOD,0.0062,1.026,16.5483871
10,SOOD,0.0138,1.839,13.32608696
1,ERAR,0.0032,0.523,16.34375
2,ERAR,0.005,0.626,12.52
3,ERAR,0.0025,0.458,18.32
4,ERAR,0.0025,0.415,16.6
5,ERAR,0.0041,0.608,14.82926829
6,ERAR,0.0055,0.778,14.14545455
7,ERAR,0.0053,0.658,12.41509434
8,ERAR,0.0041,0.748,18.24390244
9,ERAR,0.0039,0.521,13.35897436
10,ERAR,0.0053,0.923,17.41509434
1,VAMY,0.0046,0.347,7.543478261
2,VAMY,0.0041,0.388,9.463414634
3,VAMY,0.0039,0.391,10.02564103
4,VAMY,0.0045,0.358,7.955555556
5,VAMY,0.006,0.488,8.133333333
6,VAMY,0.0054,0.501,9.277777778
9,SCSC,0.0912,6.434,7.054824561
10,SCSC,0.0522,4.888,9.363984674
1,TEVI,0.0922,13.898,15.07375271
4,TEVI,0.0595,9.837,16.53277311
5,TEVI,0.1028,16.686,16.23151751
9,TEVI,0.0966,14.195,14.69461698
2,CRAR,0.0287,2.488,8.668989547
3,CRAR,0.0167,1.811,10.84431138
10,CRAR,0.0233,2.103,9.025751073
6,LEHI,0.0206,2.5,12.13592233
8,SOOD,0.0097,1.197,12.34020619
1,QULA,0.3681,38.169,10.36919315
2,QULA,0.7895,92.071,11.66193794
3,QULA,0.8536,90.358,10.58552015
4,QULA,0.6844,72.894,10.65078901
5,QULA,0.4884,56.065,11.47932023
6,QULA,0.2425,28.453,11.73319588
7,QULA,0.2742,31.302,11.41575492
8,QULA,0.3316,41.873,12.62756333
9,QULA,0.5533,60.482,10.93114043
10,QULA,0.5481,62.383,11.38168217
