DATE,TIME,HABITAT,SITE,SAMPLE,TEMP 1,TEMP 2,TEMP 3,TEMP 4,NOTES
6/23/2021,10:00,S,10,A,32.9,34,34.1,34.4,"SUNNY BEFORE 11:00, CLOUDY AFTER 11:00"
6/23/2021,10:00,S,10,B,33.6,33.5,33.7,33.5,
6/23/2021,10:00,S,10,C,33.3,33.2,32.5,37.3,
6/23/2021,10:20,F,10,A,35.3,36,36.3,37.9,
6/23/2021,10:20,F,10,B,37.4,37.7,35.9,38.8,
6/23/2021,10:20,F,10,C,36.5,36.3,35.7,36.4,
6/23/2021,10:40,S,15,A,31.6,32.9,32.8,31.9,
6/23/2021,10:40,S,15,B,38.9,46.4,44.1,39.2,
6/23/2021,10:40,S,15,C,40.7,36.4,36.8,36.7,
6/23/2021,10:55,F,15,A,34.7,33.1,30.5,32.8,
6/23/2021,10:55,F,15,B,40,43.3,40.4,40.3,
6/23/2021,10:55,F,15,C,44.2,36,46.3,40.2,
6/23/2021,11:30,S,8,A,32.5,36.7,32.8,36,
6/23/2021,11:30,S,8,B,38.3,37.9,35.3,33.5,
6/23/2021,11:30,S,8,C,29.7,31.9,30.2,33.4,
6/23/2021,12:00,F,8,A,38.1,32.4,34.7,35.3,
6/23/2021,12:00,F,8,B,37.3,34.5,38.5,38.3,
6/23/2021,12:00,F,8,C,37.5,41.2,36.9,38.7,
6/23/2021,11:20,S,9,A,28.4,28.2,27.9,31,
6/23/2021,11:20,S,9,B,34.3,30.7,29.9,34.3,
6/23/2021,11:20,S,9,C,34.3,28.4,32.3,33.1,
6/23/2021,11:51,F,9,A,31.3,33,34.3,35,
6/23/2021,11:51,F,9,B,38.1,37.5,38.1,36.6,
6/23/2021,11:51,F,9,C,30.9,31.1,32.7,35.1,
6/23/2021,12:35,S,4,A,31.5,31.6,33,36,
6/23/2021,12:35,S,4,B,33.9,33.1,31.2,33.2,
6/23/2021,12:35,S,4,C,34.6,32.3,35.1,34.2,
6/23/2021,12:20,F,4,A,39.9,36.2,39.2,39,
6/23/2021,12:20,F,4,B,40,38.7,36.7,39.4,
6/23/2021,12:20,F,4,C,38.1,36.8,38.3,37.4,
6/24/2021,12:30,S,2,A,38.5,32.8,31.6,31.5,PARTIALLY CLOUDY
6/24/2021,12:30,S,2,B,35.5,36.1,33.2,36.3,
6/24/2021,12:30,S,2,C,40.3,37.9,29.9,35.3,
6/25/2021,10:30,F,2,A,25.3,25.3,24.1,26.4,"CLOUDY, SOME RAIN"
6/25/2021,10:30,F,2,B,25.6,25.4,25.4,25.5,
6/25/2021,10:30,F,2,C,26.1,26,25.6,25.7,
6/24/2021,12:15,S,3,A,36.4,35,36.6,35,PARTIALLY CLOUDY
6/24/2021,12:15,S,3,B,38.5,38,38,37.9,
6/24/2021,12:15,S,3,C,36.7,35.7,35.1,35.3,
6/24/2021,12:00,F,3,A,30.7,31.9,28,38.4,
6/24/2021,12:00,F,3,B,30.8,30,27.8,30.9,
6/24/2021,12:00,F,3,C,27.4,29.1,28.1,27.8,
6/24/2021,10:10,S,5,A,29.1,28.6,27.7,26.7,
6/24/2021,10:10,S,5,B,28.2,28,27.7,27.3,
6/24/2021,10:10,S,5,C,27.3,27.2,26.9,28.1,
6/24/2021,9:50,F,5,A,38.3,35.8,35.7,35.2,
6/24/2021,9:50,F,5,B,32.2,33.2,33,32.3,
6/24/2021,9:50,F,5,C,41,37.2,39.1,38.9,
6/24/2021,10:30,S,6,A,28.4,28.4,29.7,29.7,
6/24/2021,10:30,S,6,B,29.6,29.8,28.3,28.3,
6/24/2021,10:30,S,6,C,28.2,29.1,28.5,28.4,
6/24/2021,11:30,F,6,A,36.5,38.4,36.2,38.4,
6/24/2021,11:30,F,6,B,40.6,37.1,38.2,38.4,
6/24/2021,11:30,F,6,C,35.8,32.1,32,35.8,
6/24/2021,10:50,S,7,A,31.1,31.5,32.1,33.7,
6/24/2021,10:50,S,7,B,33.1,32.9,35.8,33.5,
6/24/2021,10:50,S,7,C,33.6,33.5,35.5,32.8,
6/24/2021,11:10,F,7,A,48.4,46.3,38.4,44.1,
6/24/2021,11:10,F,7,B,46.2,40.5,44,41.8,
6/24/2021,11:10,F,7,C,46.9,44.3,46.2,44.8,
6/25/2021,10:00,S,1,A,25.6,25.6,25.2,25.1,"79 F; CLOUDY, SOME RAIN"
6/25/2021,10:00,S,1,B,25.2,25,24.2,24.2,
6/25/2021,10:00,S,1,C,25.3,25.3,25.4,24.4,
6/25/2021,10:20,F,1,A,26,26.2,26.4,26,
6/25/2021,10:20,F,1,B,26.2,25.3,25.6,25.3,
6/25/2021,10:20,F,1,C,25.7,26,25.5,26.3,
6/27/2021,13:20,F,12,A,47.6,48,50.8,45.5,88 F; SUNNY  W/ SOME CLOUDS
6/27/2021,13:20,F,12,B,40.3,41.8,36.6,39.2,
6/27/2021,13:20,F,12,C,35,35.9,32.8,32.6,
6/27/2021,13:40,F,11,A,39,42.6,39.9,35.2,
6/27/2021,13:40,F,11,B,43.8,46,37.2,46.7,
6/27/2021,13:40,F,11,C,34,32,30.8,32.2,
6/27/2021,14:20,F,13,A,49.7,48.1,49.1,48.6,
6/27/2021,14:20,F,13,B,52.7,49,52,44.3,
6/27/2021,14:20,F,13,C,38.4,36.8,37.8,36.6,
6/27/2021,14:40,F,14,A,48,49.2,49.8,46,
6/27/2021,14:40,F,14,B,39.8,34.5,35.1,39.5,
6/27/2021,14:40,F,14,C,53.8,49.8,55.3,51.7,
6/28/2021,10:00,S,11,A,36.1,36.7,34.8,35.8,"81 F; SUNNY, W/ SOME CLOUDS"
6/28/2021,10:00,S,11,B,38.5,36.5,36.4,38,
6/28/2021,10:00,S,11,C,38.4,31.8,38,31.5,
6/28/2021,10:15,S,12,A,28.5,27.6,28.4,28,
6/28/2021,10:15,S,12,B,27.9,26.6,28.2,27.3,
6/28/2021,10:15,S,12,C,30.7,30.7,28,27.3,
6/28/2021,10:40,S,13,A,32.4,37.1,33.2,33,
6/28/2021,10:40,S,13,B,42.2,40.4,43,37.3,
6/28/2021,10:40,S,13,C,36.5,35.5,34.7,37.5,
6/28/2021,10:55,S,14,A,37.8,37.2,38.7,38.6,
6/28/2021,10:55,S,14,B,40.3,32.1,33.6,37.6,
6/28/2021,10:55,S,14,C,35.9,31.4,33.2,31.8,
9/21/2021,9:45,F,4,A,32.2,32.7,31.5,32.7,75 F; FOGGY IN THE MORNING AND THEN SUN BY 10:15 TO 10:30
9/21/2021,9:45,F,4,B,30.5,31.9,30,30.1,
9/21/2021,9:45,F,4,C,32.8,32.9,34.6,34.8,
9/21/2021,10:10,S,4,A,26.3,27.3,26.4,27.2,
9/21/2021,10:10,S,4,B,27.7,26.8,27.5,28.5,
9/21/2021,10:10,S,4,C,27.7,28.4,27,28.3,
9/21/2021,10:45,S,9,A,36,35.9,34.4,30.1,
9/21/2021,10:45,S,9,B,32.6,27.2,33.3,29.6,
9/21/2021,10:45,S,9,C,35.2,35.1,31.6,33.6,
9/21/2021,11:00,S,8,A,27.5,27.7,30.8,28.2,
9/21/2021,11:00,S,8,B,26,27,34.1,30.8,
9/21/2021,11:00,S,8,C,30.1,29.6,28.5,30.2,
9/21/2021,11:45,F,8,A,29.8,29.9,42.7,30.1,
9/21/2021,11:45,F,8,B,41.8,39,40.8,39.6,
9/21/2021,11:45,F,8,C,31.8,35.1,34.1,32.8,
9/21/2021,12:00,F,9,A,29.6,32.6,31.1,30.2,
9/21/2021,12:00,F,9,B,30.6,35.9,30.6,34.4,
9/21/2021,12:00,F,9,C,30.1,28.2,29.8,31.9,
9/21/2021,13:00,F,5,A,40.2,41.1,34.6,34.4,
9/21/2021,13:00,F,5,B,35.7,34.6,36.3,35.8,
9/21/2021,13:00,F,5,C,35.5,32.9,32.8,31.3,
9/21/2021,13:15,S,5,A,34.2,34.2,34.7,34.4,
9/21/2021,13:15,S,5,B,36.3,37.3,37.3,35.6,
9/21/2021,13:15,S,5,C,35.9,34.5,34.5,32.8,
9/21/2021,13:30,S,6,A,28.5,29.5,29.8,28.3,
9/21/2021,13:30,S,6,B,30.6,30.1,29.2,30.1,
9/21/2021,13:30,S,6,C,28,28.5,29.2,30.4,
9/21/2021,13:45,S,7,A,30.3,32.5,30.8,30.2,
9/21/2021,13:45,S,7,B,30.2,31.2,30.1,30.2,
9/21/2021,13:45,S,7,C,29.4,29.4,30.8,28.3,
9/21/2021,14:00,F,6,A,30.9,30.8,32.9,31.6,
9/21/2021,14:00,F,6,B,32.2,32.3,30.3,31.9,
9/21/2021,14:00,F,6,C,30,28.3,30.4,30.4,
9/21/2021,14:15,F,7,A,49.5,51.2,46,47.8,
9/21/2021,14:15,F,7,B,49.2,47.2,48.8,47.3,
9/21/2021,14:15,F,7,C,46.1,46,48.2,45.6,
9/23/2021,9:40,S,10,A,27.5,30.1,26.9,25.9,"71 F; SUNNY W/ SOME CLOUDS, SOMEWHAT COOL"
9/23/2021,9:40,S,10,B,27,26.8,28.1,26.4,
9/23/2021,9:40,S,10,C,31.6,32.3,32.3,34.1,
9/23/2021,10:00,F,10,A,30.9,31.7,28,32.6,
9/23/2021,10:00,F,10,B,31.4,30.5,27.1,27.1,
9/23/2021,10:00,F,10,C,29.6,30.9,28.3,29.1,
9/23/2021,10:25,S,15,A,25,25,25.8,25.7,
9/23/2021,10:25,S,15,B,27.1,25.4,29.4,30.2,
9/23/2021,10:25,S,15,C,27.3,25.1,31.6,25.2,
9/23/2021,10:50,F,15,A,33.1,32.5,35,35.6,
9/23/2021,10:50,F,15,B,28.9,32.6,29.8,30.1,
9/23/2021,10:50,F,15,C,35.1,32.9,32.6,32.6,
9/23/2021,11:20,F,3,A,32.9,42.1,35.3,28.3,
9/23/2021,11:20,F,3,B,36.3,30.7,37.3,40.3,
9/23/2021,11:20,F,3,C,31.7,39.6,34.4,28.5,
9/23/2021,11:40,S,3,A,34.9,39.8,33.7,32.5,
9/23/2021,11:40,S,3,B,32.8,30.2,31.4,33.3,
9/23/2021,11:40,S,3,C,31,30.7,27.8,29.3,
9/23/2021,12:00,S,2,A,32.2,35.2,31,30.7,
9/23/2021,12:00,S,2,B,35.4,33,34,31.5,
9/23/2021,12:00,S,2,C,35.2,33.6,31.1,32.6,
9/23/2021,12:20,F,1,A,31.5,28.6,32.8,29.1,
9/23/2021,12:20,F,1,B,24.8,25.2,30.8,26.3,
9/23/2021,12:20,F,1,C,27.4,27.8,26.5,24.9,
9/23/2021,12:50,F,2,A,38.9,42.1,31.9,33.4,
9/23/2021,12:50,F,2,B,46.5,45.1,38.3,46.7,
9/23/2021,12:50,F,2,C,38.6,44.4,37.5,39.4,
9/23/2021,13:20,S,1,A,41.3,39.2,28.2,38.1,
9/23/2021,13:20,S,1,B,31.3,27.4,31.8,30.5,
9/23/2021,13:20,S,1,C,34.2,27.7,33.2,33.7,
9/23/2021,13:50,S,14,A,30.8,33.1,35.8,34,
9/23/2021,13:50,S,14,B,35.9,31.2,34.3,32,
9/23/2021,13:50,S,14,C,36.1,43.7,35.3,40.4,
9/23/2021,14:10,S,13,A,46.9,48.5,45.5,45.8,
9/23/2021,14:10,S,13,B,31.3,31.6,36.9,47.9,
9/23/2021,14:10,S,13,C,37.4,39.9,40.1,35.3,
9/24/2021,12:10,S,11,A,40,35.6,43.5,39.4,"82 F; SUNNY, SOME CLOUDS"
9/24/2021,12:10,S,11,B,37.2,35.6,37.1,36.5,
9/24/2021,12:10,S,11,C,38.9,38.8,35.3,45.5,
9/24/2021,12:30,S,12,A,38.4,37.9,44.4,40,
9/24/2021,12:30,S,12,B,42.5,34.4,40.8,39.6,
9/24/2021,12:30,S,12,C,35.4,31,41.2,35.7,
9/24/2021,13:00,F,13,A,41.2,40.4,44.5,45,
9/24/2021,13:00,F,13,B,32.8,35.5,33,37.9,
9/24/2021,13:00,F,13,C,40.8,39.9,38,35.8,
9/24/2021,13:15,F,14,A,33.7,35,31.1,36.2,
9/24/2021,13:15,F,14,B,40.6,41,38.3,39.2,
9/24/2021,13:15,F,14,C,35.3,40.8,38.1,48.8,
9/24/2021,13:35,F,12,A,40.8,47.6,38.4,39.6,
9/24/2021,13:35,F,12,B,40.1,39.1,43.3,37.9,
9/24/2021,13:35,F,12,C,32.2,37.6,30.6,36.2,
9/24/2021,13:50,F,11,A,31.5,30.2,32.6,31.8,
9/24/2021,13:50,F,11,B,36.2,38,30.7,32,
9/24/2021,13:50,F,11,C,31.1,36,33.3,35.7,
7/5/2022,10:30,S,13,A,40.4,33.9,37.5,38.1,
7/5/2022,10:30,S,13,B,43.1,45.1,42.5,45.1,
7/5/2022,10:30,S,13,C,48.1,39,44.5,46.2,
7/5/2022,10:30,S,13,D,39.6,37.4,37,42.9,
7/5/2022,10:55,S,14,A,34.9,36.7,34.7,34.7,
7/5/2022,10:55,S,14,B,33.4,34.8,43.9,44.5,
7/5/2022,10:55,S,14,C,39.7,37.4,33.1,41.2,
7/5/2022,10:55,S,14,D,36.2,47.7,39,41.6,
7/5/2022,11:30,S,11,A,41.5,42.1,40.6,38.8,
7/5/2022,11:30,S,11,B,39,41.1,38,39.5,
7/5/2022,11:30,S,11,C,39.4,38.6,37.4,37.3,
7/5/2022,11:30,S,11,D,37.7,34.4,35.8,36.9,
7/5/2022,11:50,S,12,A,33,33,32.9,32.7,
7/5/2022,11:50,S,12,B,30.1,32.2,31.8,30.1,
7/5/2022,11:50,S,12,C,27.6,30.4,31.2,27.4,
7/5/2022,11:50,S,12,D,30.7,30.4,29.6,34.4,
7/5/2022,12:45,S,1,A,36.2,35.6,36.5,32.8,
7/5/2022,12:45,S,1,B,34.1,35.3,32.6,35.1,
7/5/2022,12:45,S,1,C,32,34.6,34.2,33.3,
7/5/2022,12:45,S,1,D,31.2,34,32.2,32.3,
7/6/2022,11:00,S,10,A,59.5,50.5,57.1,47.4,
7/6/2022,11:00,S,10,B,64.5,61,58.7,58.7,
7/6/2022,11:00,S,10,C,51.7,47.3,54.6,57.8,
7/6/2022,11:00,S,10,D,54.2,51,53.2,51.8,
7/6/2022,11:50,S,15,A,35.8,37.2,37.1,35.2,
7/6/2022,11:50,S,15,B,49.6,51.3,48.8,42.7,
